Category,Priority,Alert Name,Pattern,Metric / Table,Threshold / Logic,Why add / what it detects early
Pod,High ,CrashLoopBackOff,Log search,KubePodInventory,"ContainerStatusReason == ""CrashLoopBackOff"" ","Detects broken containers directly, even when cluster-wide infrastructure metrics still look acceptable"
Pod,Medium ,Image pull failures,Log search,KubePodInventory,"ContainerStatusReason in (""ImagePullBackOff"",""ErrImagePull"") ","Detects release, package, registry-access, or image-reference problems early, especially during deployments"
Storage / NetApp,High ,Volume near full,Metric,Percentage Volume Consumed Size,Warning > 80%; critical > 90% ,Detects storage exhaustion before writes fail or applications run out of usable space; this metric includes snapshot usage as part of consumed size
Storage / NetApp,High ,Inodes near full,Metric,Volume Inodes Percentage,Warning > 80%; critical > 90% ,"Detects “too many files” exhaustion before the share appears full by bytes, which matters for workloads with many small files"
Storage / NetApp,High ,Throughput limit reached,Metric,Throughput limit reached,Value = 1 for 5 min ,Detects NetApp throttling before users report storage slowness or application latency
Storage / NetApp,Medium ,Read latency high,Metric,Average Read Latency,Baseline/SLA-driven ,Detects backend read slowdown before the app team only sees generic response-time degradation
Storage / NetApp,Medium ,Write latency high,Metric,Average Write Latency,Baseline/SLA-driven ,"Detects storage-side write issues before retries, queueing, and timeout symptoms spread upstream"
Storage / NetApp,High ,PV unhealthy state,Log search,KubePVInventory,"PVStatus is Failed, or unexpectedly Released for critical workloads ","Detects broken or orphaned PV lifecycle states before remount, failover, or claim-attachment problems hit applications"
Storage / NetApp,High ,Critical PVC deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource == ""persistentvolumeclaims"" with prod namespace filter ",Detects destructive storage lifecycle actions early because PVC deletion can trigger reclaim behavior depending on policy
Storage / NetApp,Medium ,PV deleted,Log search,AKSAuditAdmin,"verb == ""delete"" and objectRef_resource == ""persistentvolumes"" ","Detects direct PV deletion before cleanup issues, reclaim drift, or storage orphaning becomes a larger incident"
Storage / NetApp,"Medium, optional ",PV used bytes high,Metric,pvUsedBytes ,80–90% of capacityBytes; only if PV monitoring is enabled ,Detects PV/PVC space growth from the Kubernetes side when Container Insights persistent-volume monitoring is enabled.
ACR,High ,ACR storage used high,Metric,StorageUsed,Absolute threshold based on registry quota or storage budget ,"Detects registry capacity exhaustion early, before pushes fail, cleanup becomes urgent, or replica growth surprises the team"
ACR,High ,ACR authentication failures,Log search,ContainerRegistryLoginEvents,"ResultDescription != ""200"" ","Detects AKS-to-ACR auth issues, RBAC problems, token issues, or blocked access before image pulls fail broadly"
ACR,High ,ACR repository operation failures,Log search,ContainerRegistryRepositoryEvents,"Failure filter such as ResultDescription contains ""40"" and extend as needed ","Detects failed pulls, pushes, and repository-level problems before deployments or release pipelines stall"
ACR,High ,ACR tag untagged,Log search,ContainerRegistryRepositoryEvents,"OperationName contains ""Untag"" ",Detects destructive tag removal that can silently break releases relying on mutable or environment tags
Backup,High ,Backup job failure,Built-in Azure Monitor alert,Backup vault monitoring settings,Enable alerts for all backup job failures,Detects failed backups immediately so missing protection is found before a restore is needed
Backup,High ,Restore job failure,Built-in Azure Monitor alert,Backup vault monitoring settings,Enable alerts for all restore failures,"Detects recovery issues at the moment they matter most, during restore operations"
Backup,High ,Consecutive backup failures,Metric,Backup Health Events,"Value > 1 in 24 hours for HealthStatus != ""Healthy"" and DatasourceId = All current and future values ",Detects persistent protection failures before a long backup gap develops
Backup,High ,No backup job executed,Metric,Backup Health Events,Value < 1 in 24 hours for DatasourceId = All current and future values ,"Detects missed schedules, disabled protection, or broken policy execution before compliance is lost"
Backup,Medium ,Resource health issue,Metric,Resource Health Events ,Non-zero unhealthy events over a short period ,Detects broader vault-side or protected-resource health degradation before it becomes repeated job failure
